"","logFC","logCPM","F","PValue","FDR"
"ENSG00000150337",1.54889667041617,4.87663630190048,35.7282010830757,5.1139247784895e-08,0.000509354895246524
"ENSG00000005379",-0.723808881793489,5.0237245663821,34.0180845793212,7.70058047088251e-08,0.000509354895246524
"ENSG00000135677",0.561200787896967,7.86300228541578,30.2619323902463,3.23332005211062e-07,0.000955016792574742
"ENSG00000167895",-0.391947806122514,8.07017475290478,29.9994087104278,3.58229960207499e-07,0.000955016792574742
"ENSG00000115415",0.649342116541354,9.03828515191668,29.9800176670702,3.60955776164012e-07,0.000955016792574742
"ENSG00000059122",-0.552245733325078,6.0382139259705,28.7914589322821,5.79959406308161e-07,0.00114201796250644
"ENSG00000188641",0.389420234617938,7.80531575240448,28.5261095900719,6.3965350347958e-07,0.00114201796250644
"ENSG00000162645",0.575212686430931,8.33522302035304,28.3327834204959,6.90614838616037e-07,0.00114201796250644
"ENSG00000138496",0.69438066690449,7.51086921963973,27.7754457825051,9.3367119458424e-07,0.0013520521821333
"ENSG00000142765",-0.316255917892195,7.08069615370561,27.349600607349,1.022036572782e-06,0.0013520521821333
"ENSG00000155313",0.298353555667011,7.13258814132486,27.05110005581,1.15201736138127e-06,0.00138545797033753
"ENSG00000149527",-0.586249951470029,5.21971886744874,26.5987986626111,1.38203555714844e-06,0.0015235790321264
"ENSG00000167280",-0.495949814573558,5.83767720279594,26.2353456363065,1.60064398810055e-06,0.00162883994758325
"ENSG00000117228",1.01652907948631,7.08059937236046,25.8963391712764,2.12685032292899e-06,0.00171810451935274
"ENSG00000134243",0.814125194654756,6.88013999904744,25.8187010812178,2.14493022556044e-06,0.00171810451935274
"ENSG00000128159",-0.382460076086941,7.06105573375389,25.4909445727922,2.165748841684e-06,0.00171810451935274
"ENSG00000185101",-0.670448537968142,5.0486520205543,25.5095074265035,2.20785976483458e-06,0.00171810451935274
"ENSG00000104805",0.655030336575297,7.72672432092008,25.1967004440046,2.592283427881e-06,0.00190518430374654
"ENSG00000141574",0.701247474355756,8.36250551343396,24.9710681859509,2.83929607134295e-06,0.00191107803222471
"ENSG00000172493",0.467408007801676,8.39935643403054,24.7862885670308,2.88922523580725e-06,0.00191107803222471
"ENSG00000137752",0.446435185795895,7.06130838666292,24.4226771555063,3.35512872292249e-06,0.00202235912711949
"ENSG00000121858",0.46368866643782,7.37096156778206,24.2903137878857,3.54325183682107e-06,0.00202235912711949
"ENSG00000091106",0.787334785274642,5.73525474817481,24.4990307922773,3.57024067572952e-06,0.00202235912711949
"ENSG00000175471",0.529834906554327,6.31323878163091,24.2357228482641,3.66895600959012e-06,0.00202235912711949
"ENSG00000180902",-0.533003504886255,4.7770472150198,23.9465650223389,4.08391874240792e-06,0.00210932296723426
"ENSG00000044115",0.489988580476592,6.83042341379007,23.7335087892003,4.46848053295469e-06,0.00210932296723426
"ENSG00000249115",-0.667482839693482,3.95083984135759,23.7133900875753,4.49813775818547e-06,0.00210932296723426
"ENSG00000159189",2.84569565015461,1.13854315660952,23.6894653340348,4.54300364195618e-06,0.00210932296723426
"ENSG00000249992",2.64461776837857,5.02962987860858,23.9879819102113,4.6239599402671e-06,0.00210932296723426
"ENSG00000011422",0.585670857568446,6.91992905837092,23.4529304027133,5.2673405204283e-06,0.00232272159149153
"ENSG00000149131",1.44838893339493,4.63308450457037,23.0448042375209,6.71874988304756e-06,0.0026030117305413
"ENSG00000025708",0.456589965090852,8.26698693121224,22.7446626522373,6.7357952674403e-06,0.0026030117305413
"ENSG00000115085",-0.476133367719425,7.83944478199931,22.7409967483991,6.74614582969011e-06,0.0026030117305413
"ENSG00000198574",-0.901355507354703,3.92416497096956,22.7734027096477,6.86226543739422e-06,0.0026030117305413
"ENSG00000139083",0.368467618363094,7.1693858843503,22.6917456582104,6.88679496325841e-06,0.0026030117305413
"ENSG00000156587",0.673243410474423,7.14786860587198,22.667249919402,7.52835448715864e-06,0.00271364808149091
"ENSG00000155465",0.476810362575209,7.08409882903973,22.460088787647,7.58976332414874e-06,0.00271364808149091
"ENSG00000164713",0.485834963321971,6.74765191172409,22.3922671914063,7.85731445483141e-06,0.00273537928744644
"ENSG00000198356",0.589486435525832,5.55639547330608,22.0711451138549,9.10311046223299e-06,0.00308782175140719
"ENSG00000176953",-0.342849817702646,5.86918891504591,21.8099064830492,9.98242285715587e-06,0.00313903342320692
"ENSG00000125731",-0.596635816706849,4.77902915095461,21.7743839050689,1.01335331618076e-05,0.00313903342320692
"ENSG00000135148",0.407980061252102,6.86521636616658,21.7607410764781,1.01921897378676e-05,0.00313903342320692
"ENSG00000005206",-0.414500002101028,5.18715323491368,21.7581838570805,1.02032230098947e-05,0.00313903342320692
"ENSG00000168394",0.443757174133767,8.6205481252653,21.3370660489078,1.21979397392287e-05,0.00359719324874937
"ENSG00000215301",0.318517932000028,9.10358976096373,21.3296821540655,1.22362760748145e-05,0.00359719324874937
"ENSG00000197555",0.429928413836582,7.86646737413419,20.9952260214965,1.41087191349853e-05,0.00401343759250563
"ENSG00000119522",0.384715698015995,6.94744746180679,20.9524788269602,1.43683489869738e-05,0.00401343759250563
"ENSG00000138834",-0.253796309142997,8.01297264387406,20.9210546564105,1.45623255302948e-05,0.00401343759250563
"ENSG00000087253",0.566002397465575,7.13526638007732,20.9263028489146,1.51851017527076e-05,0.00402785576122241
"ENSG00000198019",1.03339846669894,5.39470211397911,21.0557009612128,1.52235836466188e-05,0.00402785576122241
"ENSG00000092010",0.321573894111043,7.3140008289296,20.673685206519,1.61861450998154e-05,0.00404163628975499
"ENSG00000130066",0.512606591708511,7.87380008231924,20.6691624436356,1.63499123279726e-05,0.00404163628975499
"ENSG00000123609",0.470405908998317,5.9954885979255,20.6400430505632,1.64208950652587e-05,0.00404163628975499
"ENSG00000183023",0.790508915453243,6.89589571772239,20.8262485312867,1.66764306643069e-05,0.00404163628975499
"ENSG00000197530",-0.395558911723724,6.81117395420486,20.5862908685028,1.68032350091862e-05,0.00404163628975499
"ENSG00000133069",1.28052067704298,6.9901510423437,20.8007772140476,1.71147542005223e-05,0.00404305505926268
"ENSG00000158869",0.594461934998546,6.69910608966697,20.430610111497,1.90357467543174e-05,0.0044099932191306
"ENSG00000198467",-0.978928402029621,2.76615199175122,20.254872449649,1.93709939124979e-05,0.0044099932191306
"ENSG00000104852",-0.307796387945347,7.95954889549442,20.2194650391483,1.96681230575784e-05,0.0044099932191306
"ENSG00000068028",-0.351965172913347,6.40246227198238,20.1466641123839,2.02938129683624e-05,0.00447444752930777
"ENSG00000167615",-0.309893115618146,8.63913343838572,20.0971694261952,2.0730814390931e-05,0.00449586792750206
"ENSG00000198563",-0.296977390132256,7.09682711304775,20.0532297669364,2.11268485733864e-05,0.00450785612544078
"ENSG00000120280",0.475201845360902,4.53455270580818,19.9746938530623,2.18541311397438e-05,0.00458902064837573
"ENSG00000144290",-1.48236787357545,2.61345726582117,19.991601655589,2.26921755794752e-05,0.00469054360532621
"ENSG00000159335",1.00238963120546,6.4280087831295,19.8755741522611,2.51883319406639e-05,0.00496133220449237
"ENSG00000107372",0.341474348692357,8.12224710537888,19.6304905935772,2.53572427586123e-05,0.00496133220449237
"ENSG00000155629",0.43636738226165,8.28027584548455,19.5864535392671,2.58452212480031e-05,0.00496133220449237
"ENSG00000162804",-0.484294158134081,5.42769454356003,19.5737083782765,2.59882400731213e-05,0.00496133220449237
"ENSG00000068784",0.468802902073404,5.21142346013429,19.5510732501678,2.62442415697485e-05,0.00496133220449237
"ENSG00000102524",0.522688704822641,6.2157111184671,19.6106961974183,2.62524192542495e-05,0.00496133220449237
"ENSG00000104960",-0.433535646618419,5.01913959146479,19.4210257568241,2.77660038497622e-05,0.00503433257510617
"ENSG00000196187",-0.292510371868387,8.03786268133308,19.3966216133383,2.80615037433922e-05,0.00503433257510617
"ENSG00000139132",0.60510556676746,6.23740643113064,19.5036294095246,2.82794792900205e-05,0.00503433257510617
"ENSG00000196954",0.444042226976563,7.38027827035291,19.3348253833018,2.88242741910398e-05,0.00503433257510617
"ENSG00000173611",-0.587635840166948,4.28338501715286,19.3304690424911,2.88788414746396e-05,0.00503433257510617
"ENSG00000155659",0.760893563578779,4.96843100466925,19.442827250649,2.892201040956e-05,0.00503433257510617
"ENSG00000128512",0.805780480686651,5.84256675297043,19.4281455064051,3.00355871313519e-05,0.00516026989819031
"ENSG00000160305",-0.354026595755484,7.43173415256321,19.2085243777295,3.04500706532486e-05,0.0051644100598952
"ENSG00000106070",1.47357290889129,5.24055251895231,19.3959206084361,3.09528746329672e-05,0.0051832351711332
"ENSG00000197872",0.451216360653403,7.19307521770792,19.1202806796985,3.17201434072177e-05,0.00520361603240789
"ENSG00000122085",-0.373726829160003,5.6687745363012,19.0548926894506,3.25551320391191e-05,0.00520361603240789
"ENSG00000172936",0.436278222670133,8.30485901573038,19.0168455677426,3.30991364729708e-05,0.00520361603240789
"ENSG00000168062",1.50728372470083,4.01666616637598,19.1783319581378,3.36962000873657e-05,0.00520361603240789
"ENSG00000096433",-0.466057875987816,6.58482227029161,19.0213004550013,3.37397633138992e-05,0.00520361603240789
"ENSG00000062524",-1.05329887495657,2.51453527240293,18.937336507139,3.42662672209796e-05,0.00520361603240789
"ENSG00000197249",0.542654816477601,9.7895030886782,18.920698966173,3.45157856034806e-05,0.00520361603240789
"ENSG00000147050",0.355881796553076,7.25748712391666,18.9159783686545,3.45869206079515e-05,0.00520361603240789
